jobtitle,skills
Network Engineer/ Architect,"TAD PGS, INC. specializes in delivering secure, reliable and rapidly implemented workforce solutions to the U.S. Federal marketplace, including U.S. Government agencies and their prime contractors. Wi"
IT Security Analyst,"SECURITY, CISA, CISM, CISSP, AUDIT"
Quantative Analyst,"Analysis, Analyst, CSS, Development, HTML, HTTP, Management, Metrics, Programming, Research, Risk Management, Testing"
Systems Engineer / Systems Integrator,NetApp (or other storage) Win stack (incl SQL DB) Citrix VmWare v5.5 some Linux Ability to wear multiple hats More of an engineer role more than a straight admin
Sr. Software Engineer / Technical Lead,".Net, Ada, Adobe, Ajax, Architecture, ASP, ASP.NET, Browser, Business Intelligence, CMS, Content Management, CSS, Developer, Development, DHTML, HTML, Java, JavaScript, jQuery, Management, MySQL, mysql, Oracle, PHP, Programming, Software Engineer, SQL, SQL Server, Web Developer"
Data Architect - III,"AIX, Architecture, Business Requirements, CSS, Development, HTML, HTTP, Informatica, Oracle, PLSQL, PL/SQL, Programming, Project, Shell Scripting, SQL, SQL Server, Supervision, Unix"
Systems Engineer,"TAD PGS, INC. specializes in delivering secure, reliable and rapidly implemented workforce solutions to the U.S. Federal marketplace, including U.S. Government agencies and their prime contractors. Wi"
MySQL Database Architect/Administrator,Background / Experience Requirement: * 5+ years of experience in production operations. Small company/startup strongly preferred * Extremely strong MySQL skills; experience in application-driven sh
Test Lead,".Net, Accounting, Agile, Architecture, ASP, ASP.NET, Benchmark, CASE, C#, Consulting, CSS, Defect Management, Development, ERP, Excel, Foundation, HTML, HTTP, Lifecycle, Manager, Management, Metrics, PowerPoint, Project, Project Management, Project Manager, QA, Quality Center, Research, Sales, Scheduling, Scripts, Scrum, SDLC, Testing, Validation, VB"
Software Engineer-Graphics Interface Development,"TAD PGS, INC. specializes in delivering secure, reliable and rapidly implemented workforce solutions to the U.S. Federal marketplace, including U.S. Government agencies and their prime contractors. Wi"
Java Developer,"Contract W2, 12-24 months"
Microstrategy Developer,"Analysis, Business Objects, Business Requirements, Developer, Development, Microstrategy, Project, QA, Release, SDLC, Security, SQL, Supervision, Testing, Validation"
Business Analyst - Business Analyst healthcare,Business Analyst healthcare
Sr Network Engineer,"Full Time, Direct Full Time"
Directory Services Engineer/ Active Directory SME,"Analysis, Business Requirements, Change Management, CSS, Development, Director, DNS, HTML, HTTP, Lifecycle, Management, PowerShell, Project, Security, Shell Scripting, Windows"
Senior Mainframe Test Analyst,".Net, Analyst, Architecture, Content Management, Database, Development, ERP, Management, PeopleSoft, Protocol, Quality Assurance, SAP, Scripts, SDLC, SQL, SQL Server, Technical Writing, Testing, Test Plan, Transact-SQL"
Technical Business Analyst (Microsoft Exp.),See job description
DevOps,Job Requirements: - 5+ years of experience in Linux administration in a cloud focused environment (public and private) - Candidates should demonstrate strong technical strengths in most of the follo
Linux Administrator (Scripting Must),See job description
BizTalk Developer,"Access, Consulting, CRM, Database, Developer, Engineer, IT, Libraries, Project, SDLC, SQL, Telecom, Testing"
"Developer - AngularJS, Spring or Struts, RESTful","AngularJS, Spring or Struts, RESTful"
Technical Project Manager,PROJECT MANAGER
JavaScript Web Programmer Analyst,"Access, Adobe, Analyst, API, Applications, Browser, Browsers, Computer, Consulting, Database, Development, Flash, Graphic Designer, HTML, IT, JavaScript, Linux, Manager, Management, MySQL, mysql, PHP, Programmer, Programming, Python, Scripts, SQL, SQL Server, Telecom, Testing, Web, Windows"
JDA Developer,".Net, Access, Analysis, Application, Applications, Architecture, Automated, Business Requirements, Computer, Consulting, Data Analysis, Database, Developer, Development, ERP, Foundation, IT, Java, Management, Multi-threaded, Oracle, PeopleSoft, PL/SQL, Programming, Project, Project Management, Scripts, Security, SQL, Supply Chain, Supply Chain Management, Systems, Telecom, Testing, Web, Windows"
Developer - PHP LAMP MVC MSQL OOD,PHP LAMP MVC MSQL OOD
"Systems Analyst - Healthcare Claims, ERISA, COBRA, HIPAA. SQL, SDLC","Healthcare Claims, ERISA, COBRA, HIPAA. SQL, SDLC"
Micro-services Developer,"Algorithms, Analysis, Android, CSS, Developer, Development, HTML, HTTP, iOS, Java, Management, Micro, Oracle, Scrum, Security, TDD, Testing, Tibco, UX"
Electrical Project Engineer,"TAD PGS, INC. specializes in delivering secure, reliable and rapidly implemented workforce solutions to the U.S. Federal marketplace, including U.S. Government agencies and their prime contractors. Wi"
Sr Software Staff UI Engineer,"Responsive Modern Web UI, JavaScript, Angular JS, Typescript, Sencha ExtJS 6, React, Backbone, Ember, framework, User Interface, SASS, LESS, CSS 3, HTML 5, client web technology, REST, OData, Json"
Middleware Developer,"Access, Application, Architecture, B2B, BMC, Consultant, Consulting, Developer, IBM, IT, Linux, Middleware, Research, Solaris, Systems, Technical Writing, Telecom, Tibco, Unix, WebSphere"
Senior Developer/Tech Lead,".Net, Access, AML, Application, Business Requirements, C#, Consulting, Developer, Development, IIS, IT, Management, Software, SQL, SQL Server, Telecom, Testing, VB, Windows"
IT Buyer,"C2H W2, 3+ Months Contract to Hire"
Oracle Functional Consultant,"Access, Accounting, Analysis, Analytical, Applications, Business Requirements, Computer, Consultant, Consulting, Data Analysis, Engineering, Excel, IT, Management, Microsoft Access, Oracle, PL/SQL, Project, SQL, System, Systems, Telecom, Testing"
Business Intelligence Developer (IT),"Business Intelligence, Developer, ERP, Foundation, Informatica, Oracle, Security, Writer"
Business Analyst,"Analysis, Analyst, Business Analyst, Business Requirements, CSS, Customer Service, Data Analysis, Data Modeling, Data Warehouse, Development, Excel, Hadoop, HTML, HTTP, Lifecycle, Management, Microsoft Excel, Modeling, PL/SQL, PostgreSQL, Project, Project Management, Research, SQL"
Java/J2EE Developer (Big Data / Hadoop),See job description
"Java Developer, AngularJS, NodeJS","Java Developer, AngularJS, NodeJS"
Infrastructure Project Manager,"Contract W2, 12 months"
Senior Accounting/Audit Specialist/MSA,"TAD PGS, INC. specializes in delivering secure, reliable and rapidly implemented workforce solutions to the U.S. Federal marketplace, including U.S. Government agencies and their prime contractors. Wi"
Business Systems Analyst II,"TAD PGS, INC. specializes in delivering secure, reliable and rapidly implemented workforce solutions to the U.S. Federal marketplace, including U.S. Government agencies and their prime contractors. Wi"
Senior Data Scientist,"TAD PGS, INC. specializes in delivering secure, reliable and rapidly implemented workforce solutions to the U.S. Federal marketplace, including U.S. Government agencies and their prime contractors. Wi"
Sr. Software Engineer IaaS Hybrid IT,DevOps NoOps IaaS Hybrid IT Open Source C++ Java Ruby on Rails UX UI RESTful APIs PostgreSQL MongoDB OpenTSDB Cassandra Redis Neo4J Elasticsearch Solr Splunk Sphinx Apache Jenkins Chef Docker
"Relationship Manager / Account Manager, mortgage planning expertise","Relationship Manager / Account Manager, mortgage planning expertise"
"Human Resources Generalist - outlook, excel, customer service","outlook, excel, customer service"
Data Scientist,"Algorithms, Analysis, Apache, CASE, CSS, Data Analysis, Data Mining, Development, Hadoop, HTML, HTTP, Java, Management, Matlab, NoSQL, Programming, Project, Python, SQL, Use Case"
Building Technician III (TS/SCI),"TAD PGS, INC. specializes in delivering secure, reliable and rapidly implemented workforce solutions to the U.S. Federal marketplace, including U.S. Government agencies and their prime contractors. Wi"
Business Systems Analyst,"Access, Analysis, Analyst, Analytical, Application, Business Requirements, Consulting, Development, Excel, IT, PowerPoint, Project, Quality, Quality Assurance, Scripts, SDLC, Software, SQL, System, Systems, Telecom, Test, Testing"
Recruiting Sourcer (Cyber),"TAD PGS, INC. specializes in delivering secure, reliable and rapidly implemented workforce solutions to the U.S. Federal marketplace, including U.S. Government agencies and their prime contractors. Wi"
Python / Django Developer,"Contract W2, 12-24 months"
Assembly Technician II (1st Shift),"TAD PGS, INC. specializes in delivering secure, reliable and rapidly implemented workforce solutions to the U.S. Federal marketplace, including U.S. Government agencies and their prime contractors. Wi"
GUI Developer,"Access, Applications, Consulting, Developer, Graphics, GUI, HTML, IT, Java, JSP, Libraries, Performance, System, Telecom, UX, Web"
Sr. SQL Server Datawarehouse Architect,"Full Time, Full Time"
Change and Release Management Associate,"Access, Analytical, Analytical Skills, Application, Applications, Change Management, Consulting, Development, Exchange, Hardware, IT, Lifecycle, Management, Metrics, Project, Project Management, Quality, Release, Scripts, Software, Telecom, Testing, Validation"
ServiceNow Developer/ PM,"Access, Analysis, API, Application, Applications, Browser, Change Management, Computer, Consulting, Database, Developer, Development, DHTML, HTTP, IT, Java, JavaScript, JDBC, Management, Performance, Project, Project Management, Scripts, SOAP, Software, SQL, System, Systems, Telecom, Web, XML"
Sr. Systems Engineer,"Access, Consulting, Engineer, Foundation, IT, Java, Performance, Programming, Project, Security, Systems, Telecom"
